step,loss_bn_a,loss_bn_b,loss_reset,loss_recalc,acc_bn_a,acc_bn_b,acc_reset,acc_recalc
1,1.0419325828552246,2.1928799152374268,1.9644746780395508,1.040784239768982,0.9286999702453613,0.2744999825954437,0.4717999994754791,0.9304999709129333
2,1.0452558994293213,1.0452560186386108,1.9616066217422485,1.0412685871124268,0.9267999529838562,0.9267999529838562,0.4861999750137329,0.9299999475479126
3,1.050450325012207,1.050450325012207,1.9604103565216064,1.0422030687332153,0.9247000217437744,0.9247000217437744,0.5044999718666077,0.929099977016449
4,1.0576497316360474,1.057649850845337,1.9609534740447998,1.043290376663208,0.9208999872207642,0.9208999872207642,0.5171999931335449,0.9287999868392944
5,1.0671710968017578,1.0671710968017578,1.9632139205932617,1.0440139770507812,0.9154999852180481,0.9154999852180481,0.5310999751091003,0.9289000034332275
6,1.07913339138031,1.0791332721710205,1.9669666290283203,1.0456864833831787,0.9098999500274658,0.9098999500274658,0.5427999496459961,0.9285999536514282
7,1.0939613580703735,1.093961238861084,1.9723870754241943,1.0470521450042725,0.9005999565124512,0.9005999565124512,0.5532999634742737,0.9271999597549438
8,1.1119571924209595,1.11195707321167,1.9791158437728882,1.0483384132385254,0.8914999961853027,0.8914999961853027,0.5608999729156494,0.9269999861717224
9,1.133293628692627,1.133293628692627,1.987032175064087,1.0505927801132202,0.8795999884605408,0.8795999884605408,0.5705000162124634,0.9266999959945679
10,1.1585023403167725,1.158502459526062,1.9960486888885498,1.0529968738555908,0.8681999444961548,0.8681999444961548,0.5771999359130859,0.9264000058174133
11,1.1877048015594482,1.1877049207687378,2.0058817863464355,1.055241584777832,0.8517999649047852,0.8517999649047852,0.5846999883651733,0.9257999658584595
12,1.220994472503662,1.220994472503662,2.016404151916504,1.058066725730896,0.835599958896637,0.835599958896637,0.5884000062942505,0.926099956035614
13,1.2588274478912354,1.2588274478912354,2.027453899383545,1.0612425804138184,0.8136999607086182,0.8136999607086182,0.588699996471405,0.9246999621391296
14,1.300920844078064,1.300920844078064,2.0387511253356934,1.0643731355667114,0.790399968624115,0.790399968624115,0.5893999934196472,0.9243999719619751
