Model 0: Loss: 1.0123424530029297, Acc: 0.9369000196456909
Model 1: Loss: 1.0123151540756226, Acc: 0.9399999380111694
Model 2: Loss: 1.0106658935546875, Acc: 0.9402999877929688
Model 3: Loss: 1.0127787590026855, Acc: 0.9358999729156494
Model 4: Loss: 1.008439302444458, Acc: 0.9404000043869019
Model 5: Loss: 1.0096642971038818, Acc: 0.941100001335144
Model 6: Loss: 1.0115652084350586, Acc: 0.9373999834060669
Model 7: Loss: 1.0094001293182373, Acc: 0.9411999583244324
Model 8: Loss: 1.0119174718856812, Acc: 0.9406999349594116
Model 9: Loss: 1.0091687440872192, Acc: 0.9421999454498291
Model 10: Loss: 1.0090603828430176, Acc: 0.9430999755859375
Model 11: Loss: 1.0120859146118164, Acc: 0.9394000172615051
Merged Model: Loss: 2.2939188480377197, Acc: 0.1850000023841858
