Model 0: Loss: 1.9194743633270264, Acc: 0.4528999924659729
Model 1: Loss: 1.8303112983703613, Acc: 0.4771999716758728
Model 2: Loss: 1.7359657287597656, Acc: 0.5026999711990356
Model 3: Loss: 1.6686835289001465, Acc: 0.5482000112533569
Model 4: Loss: 1.7277268171310425, Acc: 0.5033999681472778
Model 5: Loss: 1.7173748016357422, Acc: 0.5105000138282776
Model 6: Loss: 1.760941743850708, Acc: 0.4885999858379364
Model 7: Loss: 1.8155990839004517, Acc: 0.46869999170303345
Model 8: Loss: 1.7617692947387695, Acc: 0.5240999460220337
Model 9: Loss: 1.778972864151001, Acc: 0.4932999908924103
Model 10: Loss: 1.7859253883361816, Acc: 0.48489999771118164
Model 11: Loss: 1.839110255241394, Acc: 0.49689996242523193

Average Model: Loss: 1.778487930695216, Acc: 0.49594998359680176
Merged Model: Loss: 1.730375051498413, Acc: 0.5297999978065491

Control Model (1): Loss: 1.9043492078781128, Acc: 0.4470999836921692
Control Model (2): Loss: 1.6083786487579346, Acc: 0.5956000089645386
Control Model (3): Loss: 1.5162992477416992, Acc: 0.656499981880188
Control Model (4): Loss: 1.5949065685272217, Acc: 0.6369999647140503
Control Model (5): Loss: 1.4582098722457886, Acc: 0.7005000114440918
Control Model (6): Loss: 1.392390489578247, Acc: 0.7408999800682068
Control Model (7): Loss: 1.3943912982940674, Acc: 0.7454999685287476
Control Model (8): Loss: 1.3996434211730957, Acc: 0.7342000007629395
Control Model (9): Loss: 1.3529540300369263, Acc: 0.7691999673843384
Control Model (10): Loss: 1.345497965812683, Acc: 0.7733999490737915
Control Model (11): Loss: 1.377144694328308, Acc: 0.7479000091552734
Control Model (12): Loss: 1.3603954315185547, Acc: 0.7681999802589417
Control Model (13): Loss: 1.3853493928909302, Acc: 0.7458999752998352
