Model 0: Loss: 1.3846715688705444, Acc: 0.7319999933242798
Model 1: Loss: 1.4375368356704712, Acc: 0.7125999927520752
Model 2: Loss: 1.4142342805862427, Acc: 0.7271000146865845
Model 3: Loss: 1.3790771961212158, Acc: 0.7443000078201294
Model 4: Loss: 1.3863098621368408, Acc: 0.7377999424934387
Model 5: Loss: 1.3886234760284424, Acc: 0.7423000335693359
Model 6: Loss: 1.404876947402954, Acc: 0.7302999496459961
Model 7: Loss: 1.477646827697754, Acc: 0.6908000111579895
Model 8: Loss: 1.4328747987747192, Acc: 0.7156999707221985
Merged Model: Loss: 1.3066935539245605, Acc: 0.7929999828338623
Control Model (1): Loss: 1.381663203239441, Acc: 0.7539999485015869
Control Model (2): Loss: 1.343977689743042, Acc: 0.767300009727478
Control Model (3): Loss: 1.3818672895431519, Acc: 0.7430000305175781
Control Model (4): Loss: 1.5545594692230225, Acc: 0.6349999904632568
Control Model (5): Loss: 1.6781378984451294, Acc: 0.5730999708175659
Control Model (6): Loss: 2.2033843994140625, Acc: 0.3402000069618225
Control Model (7): Loss: 1.2664649486541748, Acc: 0.817799985408783
Control Model (8): Loss: 1.7677407264709473, Acc: 0.548799991607666
Control Model (9): Loss: 1.4993958473205566, Acc: 0.6771999597549438
