,ab_orig,ab_rebasin,b_orig_b_rebasin
0,3.453125,3.453125,3.5
1,7.75,7.65625,6.625
2,3.640625,9.1875,8.75
3,3.765625,3.796875,3.859375
4,3.953125,9.1875,8.375
5,4.03125,9.1875,8.3125
6,3.5,9.3125,9.1875
7,3.453125,3.453125,3.5
8,8.4375,8.3125,6.96875
9,7.90625,7.78125,6.6875
10,3.53125,3.53125,3.59375
11,7.5625,7.5,6.53125
12,7.40625,9.125,7.3125
13,5.65625,5.75,5.53125
14,4.5,4.5625,4.5625
15,4.59375,4.6875,4.6875
16,5.8125,5.90625,5.65625
17,8.125,8.8125,7.15625
18,4.09375,9.1875,8.25
19,3.9375,3.984375,4.03125
20,3.640625,3.65625,3.71875
21,4.09375,4.15625,4.1875
22,4.8125,9.25,7.90625
23,3.5,3.5,3.546875
24,4.03125,4.0625,4.125
25,5.0625,9.25,7.8125
26,6.5625,6.625,6.09375
27,3.71875,3.75,3.796875
28,7.03125,9.1875,7.375
29,3.5,9.3125,9.25
30,3.828125,3.859375,3.90625
31,6.96875,6.96875,6.28125
32,8.25,8.0,6.8125
33,6.78125,6.78125,6.1875
34,4.71875,4.8125,4.8125
35,3.515625,9.25,9.0625
36,3.546875,3.5625,3.609375
37,5.53125,9.3125,7.65625
38,3.59375,9.1875,8.875
39,8.0,8.9375,7.1875
40,7.5625,9.0625,7.28125
41,3.671875,9.1875,8.6875
42,7.34375,7.3125,6.46875
43,7.21875,9.1875,7.34375
44,3.71875,9.1875,8.625
45,7.15625,7.15625,6.375
46,4.1875,4.25,4.28125
47,4.25,9.1875,8.125
48,8.25,8.75,7.125
49,3.796875,9.1875,8.5
50,3.90625,9.1875,8.4375
51,4.34375,9.1875,8.125
52,4.9375,9.25,7.84375
53,7.875,9.0,7.21875
54,8.4375,8.5,7.0625
55,5.0,5.09375,5.03125
56,6.46875,9.25,7.46875
57,6.84375,9.25,7.40625
58,5.875,9.3125,7.59375
59,4.6875,9.25,7.9375
60,3.46875,3.46875,3.515625
61,3.578125,3.59375,3.640625
62,4.875,4.96875,4.90625
63,6.1875,6.25,5.875
64,4.375,4.46875,4.46875
65,3.671875,3.703125,3.75
66,3.46875,3.46875,3.515625
67,3.609375,3.625,3.671875
68,3.875,3.921875,3.96875
69,4.1875,9.1875,8.1875
70,6.25,9.3125,7.53125
71,7.71875,9.0625,7.25
72,3.578125,9.25,8.9375
73,5.375,9.3125,7.71875
74,3.53125,9.25,9.0
75,5.3125,5.40625,5.28125
76,3.453125,3.453125,3.5
77,3.515625,3.515625,3.5625
78,8.4375,8.375,7.0
79,3.515625,9.25,9.125
80,3.484375,3.484375,3.53125
81,5.46875,5.59375,5.40625
82,3.609375,9.1875,8.8125
83,3.75,9.1875,8.5625
84,6.65625,9.25,7.4375
85,3.84375,9.1875,8.4375
86,5.15625,5.25,5.15625
87,8.0625,7.90625,6.75
88,4.5625,9.25,8.0
89,5.71875,9.3125,7.625
90,8.3125,8.625,7.09375
91,5.21875,9.3125,7.75
92,4.4375,9.1875,8.0625
93,6.0,6.09375,5.78125
94,3.546875,9.25,8.9375
95,6.375,6.4375,6.0
96,8.4375,8.1875,6.90625
97,8.3125,8.125,6.875
98,4.28125,4.34375,4.375
99,6.0625,9.3125,7.5625
100,3.5,9.375,9.375
