distribution,ksize,sample_num,eigvec_angle
uniform,10,1,71.24365997314453
gaussian,10,1,78.73446655273438
dirac,10,1,81.0
orthogonal,10,1,81.49702453613281
sparse0.5,10,1,81.47566223144531
uniform,10,2,79.84569549560547
gaussian,10,2,76.36463928222656
dirac,10,2,81.0
orthogonal,10,2,86.99006652832031
sparse0.5,10,2,84.24287414550781
uniform,10,3,71.24163055419922
gaussian,10,3,75.53380584716797
dirac,10,3,81.0
orthogonal,10,3,79.92948150634766
sparse0.5,10,3,82.95127868652344
uniform,10,4,78.73979187011719
gaussian,10,4,85.44635009765625
dirac,10,4,81.0
orthogonal,10,4,78.5522232055664
sparse0.5,10,4,81.8796157836914
uniform,10,5,78.23103332519531
gaussian,10,5,78.04615783691406
dirac,10,5,81.0
orthogonal,10,5,80.70472717285156
sparse0.5,10,5,84.55058288574219
uniform,10,6,75.47464752197266
gaussian,10,6,78.09945678710938
dirac,10,6,81.0
orthogonal,10,6,81.90762329101562
sparse0.5,10,6,79.05644989013672
uniform,20,1,86.56478881835938
gaussian,20,1,81.94347381591797
dirac,20,1,85.5
orthogonal,20,1,89.7872085571289
sparse0.5,20,1,83.58760833740234
uniform,20,2,86.46702575683594
gaussian,20,2,85.86007690429688
dirac,20,2,85.5
orthogonal,20,2,84.3759765625
sparse0.5,20,2,81.04438781738281
uniform,20,3,83.34942626953125
gaussian,20,3,86.61334228515625
dirac,20,3,85.5
orthogonal,20,3,83.68150329589844
sparse0.5,20,3,85.5987777709961
uniform,20,4,85.41841125488281
gaussian,20,4,85.05916595458984
dirac,20,4,85.5
orthogonal,20,4,85.30964660644531
sparse0.5,20,4,85.07429504394531
uniform,20,5,83.21296691894531
gaussian,20,5,84.52421569824219
dirac,20,5,85.5
orthogonal,20,5,86.64164733886719
sparse0.5,20,5,88.53768920898438
uniform,20,6,84.1613540649414
gaussian,20,6,87.4142837524414
dirac,20,6,85.5
orthogonal,20,6,85.1703872680664
sparse0.5,20,6,86.21976470947266
uniform,30,1,84.34970092773438
gaussian,30,1,86.27193450927734
dirac,30,1,87.0
orthogonal,30,1,86.54281616210938
sparse0.5,30,1,85.87755584716797
uniform,30,2,86.38977813720703
gaussian,30,2,86.02095031738281
dirac,30,2,87.0
orthogonal,30,2,85.70486450195312
sparse0.5,30,2,87.63650512695312
uniform,30,3,87.99710845947266
gaussian,30,3,88.83155059814453
dirac,30,3,87.0
orthogonal,30,3,88.35332489013672
sparse0.5,30,3,87.7724609375
uniform,30,4,84.88240051269531
gaussian,30,4,86.51676177978516
dirac,30,4,87.0
orthogonal,30,4,87.93514251708984
sparse0.5,30,4,87.08805084228516
uniform,30,5,85.11878204345703
gaussian,30,5,88.23917388916016
dirac,30,5,87.0
orthogonal,30,5,87.74344635009766
sparse0.5,30,5,86.19859313964844
uniform,30,6,85.65547943115234
gaussian,30,6,87.77518463134766
dirac,30,6,87.0
orthogonal,30,6,87.59766387939453
sparse0.5,30,6,88.4249267578125
uniform,40,1,86.96038818359375
gaussian,40,1,88.28977966308594
dirac,40,1,87.75
orthogonal,40,1,89.34732055664062
sparse0.5,40,1,87.34658813476562
uniform,40,2,88.28680419921875
gaussian,40,2,87.6537094116211
dirac,40,2,87.75
orthogonal,40,2,88.69558715820312
sparse0.5,40,2,87.3188705444336
uniform,40,3,85.2713394165039
gaussian,40,3,88.0760269165039
dirac,40,3,87.75
orthogonal,40,3,86.73590850830078
sparse0.5,40,3,87.7087173461914
uniform,40,4,86.91476440429688
gaussian,40,4,87.7977066040039
dirac,40,4,87.75
orthogonal,40,4,89.2286376953125
sparse0.5,40,4,88.32633972167969
uniform,40,5,86.6277847290039
gaussian,40,5,88.02184295654297
dirac,40,5,87.75
orthogonal,40,5,87.176513671875
sparse0.5,40,5,87.86199951171875
uniform,40,6,86.89656829833984
gaussian,40,6,87.6156997680664
dirac,40,6,87.75
orthogonal,40,6,87.7744369506836
sparse0.5,40,6,88.34058380126953
uniform,50,1,86.4010009765625
gaussian,50,1,88.7051010131836
dirac,50,1,88.20000457763672
orthogonal,50,1,88.96038818359375
sparse0.5,50,1,89.09673309326172
uniform,50,2,86.9583511352539
gaussian,50,2,86.67913818359375
dirac,50,2,88.20000457763672
orthogonal,50,2,88.77303314208984
sparse0.5,50,2,87.91411590576172
