weight_decay,hidden_features,values1,values2,bins
0.0,20,"[2.0, 8.0, 14.0, 9.0, 29.0, 35.0, 32.0, 43.0, 39.0, 45.0, 38.0, 45.0, 29.0, 32.0, 36.0, 34.0, 36.0, 43.0, 31.0, 40.0, 38.0, 31.0, 44.0, 34.0, 29.0, 40.0, 42.0, 39.0, 40.0, 40.0, 41.0, 38.0, 39.0, 32.0, 24.0, 18.0, 7.0, 1.0, 2.0, 1.0]","[3.0, 4.0, 16.0, 25.0, 33.0, 39.0, 46.0, 35.0, 48.0, 33.0, 29.0, 37.0, 35.0, 43.0, 35.0, 36.0, 26.0, 44.0, 39.0, 42.0, 35.0, 45.0, 44.0, 29.0, 38.0, 36.0, 44.0, 34.0, 36.0, 26.0, 34.0, 36.0, 33.0, 34.0, 27.0, 13.0, 5.0, 3.0, 0.0, 0.0]","[-0.2610422968864441, -0.24716979265213013, -0.23329731822013855, -0.21942484378814697, -0.2055523544549942, -0.19167988002300262, -0.17780740559101105, -0.16393491625785828, -0.1500624418258667, -0.13618996739387512, -0.12231747806072235, -0.10844500362873077, -0.094572514295578, -0.08070003986358643, -0.06682756543159485, -0.052955079823732376, -0.0390825979411602, -0.025210117921233177, -0.011337639763951302, 0.0025348402559757233, 0.016407322138547897, 0.030279800295829773, 0.04415227845311165, 0.05802478268742561, 0.07189728319644928, 0.08576977252960205, 0.09964224696159363, 0.1135147213935852, 0.12738721072673798, 0.14125968515872955, 0.15513215959072113, 0.1690046489238739, 0.18287712335586548, 0.19674959778785706, 0.21062208712100983, 0.2244945615530014, 0.23836705088615417, 0.25223952531814575, 0.2661120295524597, 0.2799844741821289]"
0.0,60,"[3.0, 10.0, 25.0, 65.0, 128.0, 227.0, 284.0, 334.0, 343.0, 353.0, 330.0, 359.0, 330.0, 380.0, 395.0, 361.0, 374.0, 407.0, 350.0, 334.0, 336.0, 376.0, 377.0, 351.0, 346.0, 357.0, 373.0, 367.0, 319.0, 358.0, 338.0, 340.0, 315.0, 314.0, 267.0, 144.0, 85.0, 32.0, 6.0, 7.0]","[3.0, 5.0, 24.0, 53.0, 128.0, 219.0, 331.0, 302.0, 376.0, 348.0, 298.0, 360.0, 364.0, 358.0, 357.0, 348.0, 374.0, 358.0, 379.0, 365.0, 355.0, 372.0, 339.0, 343.0, 372.0, 344.0, 387.0, 362.0, 366.0, 363.0, 376.0, 342.0, 354.0, 291.0, 240.0, 145.0, 61.0, 20.0, 12.0, 6.0]","[-0.16544458270072937, -0.15703243017196655, -0.14862027764320374, -0.14020812511444092, -0.1317959725856781, -0.12338382005691528, -0.11497166752815247, -0.10655951499938965, -0.09814736247062683, -0.08973520994186401, -0.0813230574131012, -0.07291090488433838, -0.06449875235557556, -0.056086599826812744, -0.04767444729804993, -0.03926229476928711, -0.030850142240524292, -0.022437989711761475, -0.014025837182998657, -0.00561368465423584, 0.0027984678745269775, 0.011210620403289795, 0.019622772932052612, 0.028034932911396027, 0.03644709289073944, 0.04485924541950226, 0.053271397948265076, 0.06168355047702789, 0.07009570300579071, 0.07850785553455353, 0.08692000806331635, 0.09533216059207916, 0.10374431312084198, 0.1121564656496048, 0.12056861817836761, 0.12898077070713043, 0.13739292323589325, 0.14580507576465607, 0.15421722829341888, 0.1626293808221817]"
0.0,100,"[6.0, 20.0, 66.0, 212.0, 426.0, 693.0, 924.0, 971.0, 1043.0, 1018.0, 1050.0, 1048.0, 962.0, 974.0, 1055.0, 1015.0, 1030.0, 1020.0, 1020.0, 1051.0, 1064.0, 985.0, 1016.0, 1037.0, 1025.0, 1026.0, 1044.0, 971.0, 1017.0, 992.0, 972.0, 955.0, 898.0, 716.0, 427.0, 161.0, 64.0, 20.0, 4.0, 2.0]","[10.0, 29.0, 71.0, 194.0, 433.0, 734.0, 921.0, 920.0, 977.0, 1025.0, 968.0, 984.0, 1030.0, 1070.0, 1036.0, 1011.0, 988.0, 1048.0, 1053.0, 1007.0, 983.0, 990.0, 1014.0, 1021.0, 1025.0, 1034.0, 1043.0, 996.0, 1034.0, 1034.0, 1025.0, 925.0, 952.0, 680.0, 460.0, 177.0, 76.0, 17.0, 5.0, 0.0]","[-0.12722396850585938, -0.12053175270557404, -0.1138395294547081, -0.10714730620384216, -0.10045508295297623, -0.09376285970211029, -0.08707064390182495, -0.08037841320037842, -0.07368619740009308, -0.06699396669864655, -0.060301750898361206, -0.05360952764749527, -0.046917304396629333, -0.0402250811457634, -0.03353286162018776, -0.026840638369321823, -0.020148415118455887, -0.013456192798912525, -0.006763971410691738, -7.174909114837646e-05, 0.00662047415971756, 0.013312695547938347, 0.020004916936159134, 0.02669714391231537, 0.0333893708884716, 0.04008159413933754, 0.04677381366491318, 0.053466036915779114, 0.06015826016664505, 0.06685048341751099, 0.07354269921779633, 0.08023492991924286, 0.0869271457195282, 0.09361937642097473, 0.10031159222126007, 0.10700381547212601, 0.11369603872299194, 0.12038825452327728, 0.12708048522472382, 0.13377270102500916]"
0.0,140,"[2.0, 11.0, 30.0, 108.0, 284.0, 750.0, 1347.0, 1794.0, 1928.0, 2058.0, 2047.0, 2039.0, 2013.0, 2090.0, 2068.0, 2020.0, 2102.0, 2106.0, 2046.0, 2038.0, 2048.0, 2107.0, 2079.0, 2036.0, 2060.0, 2006.0, 2103.0, 2045.0, 2088.0, 1999.0, 2019.0, 2023.0, 1880.0, 1556.0, 1125.0, 484.0, 184.0, 63.0, 10.0, 4.0]","[3.0, 4.0, 27.0, 108.0, 335.0, 727.0, 1369.0, 1811.0, 1992.0, 2064.0, 1994.0, 1984.0, 2058.0, 2068.0, 2110.0, 2093.0, 2043.0, 2062.0, 2102.0, 2022.0, 2052.0, 2069.0, 2022.0, 2019.0, 2073.0, 2037.0, 2042.0, 2077.0, 2092.0, 2066.0, 1996.0, 1979.0, 1923.0, 1594.0, 1079.0, 485.0, 153.0, 49.0, 10.0, 7.0]","[-0.11522166430950165, -0.10939748585224152, -0.10357330739498138, -0.09774912893772125, -0.09192495048046112, -0.08610077202320099, -0.08027659356594086, -0.07445241510868073, -0.0686282366514206, -0.06280405819416046, -0.05697987973690033, -0.0511557012796402, -0.045331522822380066, -0.039507344365119934, -0.033683162182569504, -0.027858981862664223, -0.02203480154275894, -0.01621062308549881, -0.010386442765593529, -0.004562264308333397, 0.001261914148926735, 0.007086093537509441, 0.012910272926092148, 0.01873444952070713, 0.024558626115322113, 0.030382804572582245, 0.03620698302984238, 0.04203116148710251, 0.04785533994436264, 0.05367951840162277, 0.0595037005841732, 0.06532788276672363, 0.07115206122398376, 0.0769762396812439, 0.08280041813850403, 0.08862459659576416, 0.09444877505302429, 0.10027295351028442, 0.10609713196754456, 0.11192131042480469]"
0.0,180,"[2.0, 10.0, 32.0, 132.0, 451.0, 1174.0, 2247.0, 2899.0, 3372.0, 3429.0, 3358.0, 3545.0, 3377.0, 3471.0, 3511.0, 3469.0, 3416.0, 3465.0, 3450.0, 3479.0, 3404.0, 3632.0, 3407.0, 3525.0, 3515.0, 3423.0, 3535.0, 3538.0, 3547.0, 3499.0, 3371.0, 3327.0, 2969.0, 2332.0, 1248.0, 457.0, 135.0, 33.0, 10.0, 4.0]","[3.0, 8.0, 31.0, 117.0, 425.0, 1170.0, 2307.0, 3044.0, 3334.0, 3365.0, 3497.0, 3451.0, 3504.0, 3509.0, 3416.0, 3481.0, 3575.0, 3378.0, 3599.0, 3380.0, 3447.0, 3439.0, 3359.0, 3606.0, 3449.0, 3484.0, 3472.0, 3530.0, 3451.0, 3459.0, 3426.0, 3341.0, 2996.0, 2333.0, 1211.0, 427.0, 127.0, 38.0, 9.0, 2.0]","[-0.1027626246213913, -0.09750333428382874, -0.09224402904510498, -0.08698473125696182, -0.08172543346881866, -0.07646612823009491, -0.07120683789253235, -0.0659475326538086, -0.060688238590955734, -0.055428940802812576, -0.05016963928937912, -0.04491034150123596, -0.039651043713092804, -0.034391745924949646, -0.02913244441151619, -0.02387314662337303, -0.018613848835229874, -0.013354550115764141, -0.008095250464975834, -0.0028359517455101013, 0.0024233460426330566, 0.007682645693421364, 0.012941945344209671, 0.018201235681772232, 0.023460526019334793, 0.02871982380747795, 0.03397912532091141, 0.039238423109054565, 0.04449772089719772, 0.04975701868534088, 0.05501632019877434, 0.060275617986917496, 0.06553491950035095, 0.07079420983791351, 0.07605351507663727, 0.08131280541419983, 0.08657211065292358, 0.09183141589164734, 0.0970907062292099, 0.10235001146793365]"
0.0,220,"[3.0, 7.0, 39.0, 131.0, 535.0, 1529.0, 3183.0, 4453.0, 4974.0, 5159.0, 5139.0, 5219.0, 5322.0, 5404.0, 5126.0, 5216.0, 5230.0, 5125.0, 5261.0, 5216.0, 5219.0, 5201.0, 5201.0, 5261.0, 5257.0, 5150.0, 5115.0, 5285.0, 5249.0, 5306.0, 5069.0, 4973.0, 4586.0, 3482.0, 1766.0, 584.0, 170.0, 43.0, 11.0, 1.0]","[2.0, 6.0, 45.0, 149.0, 544.0, 1494.0, 3128.0, 4378.0, 4957.0, 5084.0, 5267.0, 5162.0, 5127.0, 5234.0, 5069.0, 5277.0, 5160.0, 5202.0, 5233.0, 5222.0, 5275.0, 5328.0, 5198.0, 5352.0, 5238.0, 5196.0, 5222.0, 5301.0, 5203.0, 5268.0, 5212.0, 5057.0, 4537.0, 3489.0, 1772.0, 616.0, 148.0, 34.0, 11.0, 3.0]","[-0.09388501942157745, -0.08908947557210922, -0.08429393917322159, -0.07949839532375336, -0.07470285892486572, -0.06990731507539749, -0.06511177867650986, -0.060316238552331924, -0.05552069842815399, -0.05072515457868576, -0.045929618179798126, -0.041134074330329895, -0.03633853793144226, -0.03154299408197403, -0.026747455820441246, -0.021951915696263313, -0.01715637557208538, -0.012360835447907448, -0.007565295323729515, -0.0027697551995515823, 0.0020257849246263504, 0.006821325048804283, 0.011616865172982216, 0.01641240529716015, 0.02120794542133808, 0.026003485545516014, 0.030799025669693947, 0.03559456765651703, 0.04039010405540466, 0.045185647904872894, 0.04998118430376053, 0.05477672815322876, 0.059572264552116394, 0.06436780840158463, 0.06916334480047226, 0.07395888864994049, 0.07875442504882812, 0.08354996889829636, 0.08834550529718399, 0.09314104914665222]"
0.2,20,"[6.0, 17.0, 12.0, 16.0, 24.0, 28.0, 18.0, 26.0, 21.0, 23.0, 33.0, 26.0, 33.0, 33.0, 34.0, 43.0, 36.0, 69.0, 89.0, 94.0, 74.0, 52.0, 45.0, 44.0, 29.0, 25.0, 36.0, 18.0, 21.0, 15.0, 23.0, 20.0, 24.0, 23.0, 27.0, 12.0, 16.0, 10.0, 2.0, 3.0]","[3.0, 19.0, 19.0, 22.0, 30.0, 24.0, 22.0, 32.0, 17.0, 19.0, 29.0, 23.0, 28.0, 32.0, 33.0, 35.0, 63.0, 69.0, 94.0, 95.0, 71.0, 48.0, 43.0, 34.0, 34.0, 25.0, 31.0, 26.0, 22.0, 23.0, 21.0, 19.0, 25.0, 16.0, 18.0, 16.0, 12.0, 7.0, 1.0, 0.0]","[-0.11642765253782272, -0.11017613857984543, -0.10392461717128754, -0.09767310321331024, -0.09142158925533295, -0.08517007529735565, -0.07891856133937836, -0.07266704738140106, -0.06641553342342377, -0.06016401946544647, -0.05391250178217888, -0.047660984098911285, -0.04140947014093399, -0.035157956182956696, -0.02890644036233425, -0.022654922679066658, -0.016403406858444214, -0.01015189103782177, -0.003900375682860613, 0.002351139672100544, 0.008602655492722988, 0.014854170382022858, 0.021105686202645302, 0.027357207611203194, 0.033608727157115936, 0.03986024111509323, 0.046111758798360825, 0.05236327648162842, 0.05861479043960571, 0.06486630439758301, 0.0711178183555603, 0.0773693323135376, 0.08362084627151489, 0.08987236768007278, 0.09612388163805008, 0.10237539559602737, 0.10862690955400467, 0.11487843096256256, 0.12112994492053986, 0.12738145887851715]"
0.2,60,"[0.0, 0.0, 1.0, 1.0, 4.0, 7.0, 32.0, 77.0, 169.0, 226.0, 239.0, 235.0, 268.0, 339.0, 401.0, 478.0, 901.0, 1992.0, 1963.0, 785.0, 532.0, 431.0, 331.0, 277.0, 238.0, 231.0, 221.0, 221.0, 106.0, 43.0, 24.0, 9.0, 5.0, 6.0, 2.0, 4.0, 0.0, 1.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 1.0, 5.0, 11.0, 20.0, 75.0, 205.0, 214.0, 263.0, 250.0, 308.0, 309.0, 378.0, 496.0, 910.0, 1855.0, 1868.0, 849.0, 558.0, 412.0, 344.0, 273.0, 263.0, 256.0, 249.0, 209.0, 118.0, 40.0, 26.0, 15.0, 7.0, 5.0, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[-0.05613666772842407, -0.05293180048465729, -0.0497269332408905, -0.04652206599712372, -0.04331720620393753, -0.040112338960170746, -0.03690747171640396, -0.033702604472637177, -0.03049774095416069, -0.027292877435684204, -0.02408801019191742, -0.020883146673440933, -0.01767827942967415, -0.014473414979875088, -0.011268549598753452, -0.008063684217631817, -0.004858818836510181, -0.001653953455388546, 0.0015509119257330894, 0.004755777306854725, 0.00796064268797636, 0.011165508069097996, 0.014370373450219631, 0.017575237900018692, 0.020780101418495178, 0.023984964936971664, 0.02718983218073845, 0.030394695699214935, 0.03359956294298172, 0.036804430186748505, 0.04000928997993469, 0.04321415722370148, 0.04641902446746826, 0.049623891711235046, 0.052828751504421234, 0.05603361874818802, 0.0592384859919548, 0.06244335323572159, 0.06564821302890778, 0.06885308027267456]"
0.2,100,"[1.0, 0.0, 2.0, 0.0, 4.0, 5.0, 8.0, 21.0, 27.0, 59.0, 144.0, 374.0, 684.0, 904.0, 1084.0, 1467.0, 2379.0, 6598.0, 7940.0, 2765.0, 1605.0, 1196.0, 926.0, 774.0, 450.0, 222.0, 130.0, 91.0, 55.0, 32.0, 22.0, 5.0, 9.0, 10.0, 3.0, 3.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 2.0, 6.0, 6.0, 9.0, 21.0, 54.0, 115.0, 296.0, 694.0, 890.0, 1066.0, 1492.0, 2425.0, 6574.0, 8216.0, 2769.0, 1601.0, 1160.0, 920.0, 734.0, 442.0, 222.0, 122.0, 65.0, 49.0, 19.0, 14.0, 10.0, 4.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[-0.039904072880744934, -0.037638597190380096, -0.03537312522530556, -0.03310764953494072, -0.03084217570722103, -0.028576701879501343, -0.026311226189136505, -0.024045754224061966, -0.02178027853369713, -0.01951480656862259, -0.01724933087825775, -0.014983856119215488, -0.0127183822914958, -0.010452907532453537, -0.008187433704733849, -0.0059219589456915855, -0.0036564848851412535, -0.0013910105917602777, 0.000874463701620698, 0.0031399379950016737, 0.005405412055552006, 0.0076708863489329815, 0.009936360642313957, 0.01220183726400137, 0.014467312954366207, 0.01673278585076332, 0.01899826154112816, 0.021263737231492996, 0.023529209196567535, 0.025794684886932373, 0.02806016057729721, 0.03032563254237175, 0.03259110823273659, 0.03485658019781113, 0.037122055888175964, 0.0393875315785408, 0.04165300354361534, 0.04391847923398018, 0.04618395119905472, 0.048449426889419556]"
0.2,140,"[0.0, 1.0, 0.0, 0.0, 0.0, 3.0, 2.0, 8.0, 2.0, 19.0, 24.0, 36.0, 110.0, 178.0, 387.0, 913.0, 1833.0, 2740.0, 4800.0, 13081.0, 19240.0, 6630.0, 3522.0, 2287.0, 1373.0, 663.0, 405.0, 210.0, 134.0, 79.0, 46.0, 22.0, 21.0, 13.0, 6.0, 3.0, 2.0, 4.0, 1.0, 2.0]","[1.0, 0.0, 0.0, 1.0, 0.0, 4.0, 3.0, 8.0, 8.0, 13.0, 22.0, 48.0, 75.0, 186.0, 373.0, 903.0, 2029.0, 2748.0, 4717.0, 13298.0, 18930.0, 6631.0, 3417.0, 2301.0, 1409.0, 737.0, 384.0, 224.0, 137.0, 67.0, 49.0, 27.0, 13.0, 14.0, 8.0, 5.0, 4.0, 2.0, 2.0, 2.0]","[-0.03129812702536583, -0.029709748923778534, -0.02812137082219124, -0.026532994583249092, -0.024944618344306946, -0.02335624024271965, -0.021767864003777504, -0.020179487764835358, -0.018591109663248062, -0.017002733424305916, -0.015414356254041195, -0.013825979083776474, -0.012237602844834328, -0.010649225674569607, -0.009060848504304886, -0.007472471799701452, -0.005884094629436731, -0.004295717924833298, -0.0027073409873992205, -0.0011189640499651432, 0.0004694131202995777, 0.0020577898249030113, 0.003646166529506445, 0.0052345446310937405, 0.006822922732681036, 0.00841129943728447, 0.00999967660754919, 0.011588053777813911, 0.013176430016756058, 0.014764807187020779, 0.0163531843572855, 0.017941560596227646, 0.01952993869781494, 0.021118314936757088, 0.022706691175699234, 0.02429506927728653, 0.025883445516228676, 0.027471821755170822, 0.029060199856758118, 0.030648577958345413]"
