,a-b-orig,a-b-rebasin,b-orig-b-rebasin
0,0.9077,0.9077,0.7998
1,0.9072,0.9074,0.7998
2,0.9067,0.907,0.7975
3,0.9061,0.9051,0.7957
4,0.9063,0.9035,0.7934
5,0.9052,0.9021,0.7925
6,0.9033,0.8996,0.7902
7,0.9013,0.8961,0.7882
8,0.898,0.8918,0.7864
9,0.8952,0.8895,0.7848
10,0.8935,0.8839,0.7832
11,0.8882,0.8788,0.7809
12,0.8835,0.8724,0.7788
13,0.878,0.8653,0.7754
14,0.8725,0.8588,0.7714
15,0.8657,0.8504,0.7674
16,0.8576,0.8395,0.7621
17,0.8486,0.829,0.757
18,0.8363,0.8141,0.7519
19,0.8224,0.796,0.7459
20,0.8104,0.7764,0.7381
21,0.7933,0.7567,0.7288
22,0.7747,0.7333,0.7186
23,0.755,0.7104,0.707
24,0.732,0.687,0.6917
25,0.707,0.6628,0.6741
26,0.6817,0.6404,0.6577
27,0.6566,0.6166,0.6415
28,0.6283,0.5926,0.6219
29,0.5999,0.5694,0.6027
30,0.5723,0.5458,0.5778
31,0.548,0.5279,0.5574
32,0.5254,0.5082,0.5376
33,0.5034,0.4878,0.5122
34,0.4866,0.4706,0.4878
35,0.4673,0.4567,0.465
36,0.449,0.441,0.4406
37,0.4316,0.427,0.4184
38,0.4136,0.4147,0.3975
39,0.3958,0.406,0.3754
40,0.3821,0.3962,0.357
41,0.366,0.3891,0.3399
42,0.3522,0.3815,0.3294
43,0.3428,0.376,0.3302
44,0.3297,0.3728,0.3233
45,0.3203,0.3683,0.3123
46,0.3102,0.3661,0.2953
47,0.3022,0.365,0.2851
48,0.2987,0.3626,0.2806
49,0.2931,0.3625,0.2773
50,0.2899,0.3649,0.2766
51,0.2922,0.3701,0.2783
52,0.2962,0.3796,0.2776
53,0.3039,0.3887,0.278
54,0.3117,0.4058,0.278
55,0.3224,0.4215,0.2798
56,0.3348,0.4359,0.2786
57,0.3466,0.4531,0.2831
58,0.3581,0.4715,0.2895
59,0.3714,0.4923,0.2989
60,0.3833,0.513,0.3125
61,0.395,0.53,0.3288
62,0.4077,0.5475,0.3451
63,0.417,0.5606,0.3625
64,0.4276,0.5675,0.3802
65,0.4363,0.5764,0.399
66,0.4474,0.5865,0.4157
67,0.4607,0.5955,0.4331
68,0.4764,0.6059,0.4459
69,0.4963,0.6134,0.4593
70,0.5167,0.6204,0.4722
71,0.5433,0.6294,0.4818
72,0.5661,0.6362,0.4938
73,0.5921,0.6439,0.5063
74,0.6191,0.6511,0.5206
75,0.6446,0.6569,0.5384
76,0.6715,0.6629,0.5566
77,0.6943,0.6693,0.5735
78,0.7157,0.6741,0.597
79,0.7299,0.6779,0.6188
80,0.7452,0.6823,0.6403
81,0.7554,0.6882,0.6614
82,0.764,0.6919,0.6771
83,0.7713,0.697,0.6902
84,0.775,0.703,0.7034
85,0.7819,0.7073,0.7175
86,0.7844,0.7155,0.7268
87,0.7886,0.725,0.7364
88,0.79,0.7351,0.7469
89,0.7924,0.7448,0.7549
90,0.7939,0.7533,0.7599
91,0.7951,0.7585,0.7669
92,0.7954,0.7631,0.7743
93,0.7947,0.7678,0.7801
94,0.7964,0.7727,0.7849
95,0.797,0.7765,0.7889
96,0.7985,0.7814,0.7918
97,0.7989,0.7848,0.794
98,0.799,0.7904,0.796
99,0.799,0.7946,0.7977
100,0.7998,0.7998,0.7998
